gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,liver_448_adjacent_non-tumor_tissue,liver_448_tumor,liver_473_adjacent_non-tumor_tissue,liver_473_tumor,liver_510_adjacent_non-tumor_tissue,liver_510_tumor
LOC112268210,472.349592064631,-9.57368850744893,1.01710106056724,-9.41272099560067,4.83456198850024e-21,1.55401482023336e-18,320.004274081979,1.47071595808712,607.879813880075,0,1902.66067746259,2.08207100505744
HAMP,6115.18654803959,-8.96400216468697,0.95598619943454,-9.37670666165382,6.80655451482453e-21,2.11372359017992e-18,11236.0798973276,1.47071595808712,15261.7807239914,60.4192835680739,10119.5702650304,11.7984023619922
NCAPH,225.939482912544,3.85942165767998,0.411529759207587,9.3782322452486,6.70880439959441e-21,2.11372359017992e-18,26.9477283437456,476.511970420225,22.0545964219528,430.043135984526,38.4931350931738,361.586331211643
KIF4A,319.181394535851,4.80896134601181,0.513567844251975,9.36382875181016,7.68984163039583e-21,2.34822130586854e-18,25.8249063294229,775.06730991191,24.8114209746969,716.146214056875,15.1223030723183,358.11621286988
ADH1A,12875.4037501774,-6.36518314748121,0.684607299294953,-9.29756833448377,1.43694301904917e-20,4.31601147459327e-18,23519.7527340183,644.9089476212,33113.5981152858,135.054869152165,19693.3628646326,145.744970354021
CXCL12,3265.23028491133,-5.28688436321451,0.568953445389853,-9.29229694635539,1.50993989991892e-20,4.46211594295394e-18,7831.68354990106,66.9175760929638,6339.31805903507,150.159690044184,4931.24555640051,272.057277994172
MYBL2,523.068303785159,5.30403472925771,0.576595935224957,9.19887637984885,3.61712151143297e-20,1.05195079892817e-17,29.1933723723911,1533.22138630582,13.7841227637205,974.705206973191,34.3688706189051,553.136863676927
KCNN2,292.497394006899,-5.61547446305349,0.610769479170649,-9.19409802644138,3.78153714769015e-20,1.08258318156217e-17,451.374449757739,5.1475058533049,464.524937137382,8.88518876001086,804.23157248238,20.8207100505744
CLEC1B,299.101696952836,-9.63925907839559,1.04990473799915,-9.18107970135039,4.2679038491805e-20,1.20302360499516e-17,296.425011781202,0,657.502655829469,0,838.600443101285,2.08207100505744
MMP24-AS1-EDEM2,130.092238449405,-4.84449927355726,0.530481580909758,-9.13226669481928,6.7079826122445e-20,1.86217662759915e-17,169.546124162733,8.82429574852269,294.980227143619,5.33111325600652,290.073268023559,11.7984023619922
EZH2,435.261537758344,3.22487828396289,0.353205795709033,9.13030964706908,6.83036480937985e-20,1.86784991100683e-17,104.422447332014,734.622621064514,81.3263243059511,880.522206117076,65.9882315882979,744.687396142212
FOLH1B,167.336416447375,-7.51660309055468,0.825127945629042,-9.10962127797568,8.26700454993109e-20,2.22747143182114e-17,243.652377108033,2.94143191617423,525.175077297752,2.66555662800326,229.584055734286,0
CDC6,835.232649424531,4.99195109668978,0.548671361645657,9.09825342754755,9.17960935103967e-20,2.43751887724274e-17,49.4041686302003,1282.46431545196,74.4342629240908,2501.18063594306,28.8698513198803,1075.04266227799
RDH16,5474.36993196536,-7.11140920404074,0.782241217173407,-9.09106941428822,9.80696350095842e-20,2.56690264663657e-17,4435.1469565748,143.394805913494,10208.5213188114,73.7470667080902,17966.6708047388,18.738639045517
CLGN,490.035306278442,5.96881423844587,0.657570747821126,9.07706776529166,1.11539165961579e-19,2.87833887147614e-17,14.5966861861955,451.509799132744,6.89206138186026,1484.71504179782,24.7455868456117,957.752662326424
CNDP1,1120.09193315068,-8.37230200319079,0.926462565420421,-9.03684867115112,1.61253382613433e-19,4.04723900855249e-17,1038.61036324853,1.47071595808712,2617.60491283053,17.7703775200217,3043.70718201024,1.38804733670496
TREH,80.3488857856184,-6.27137433417465,0.693889228247508,-9.0380050285745,1.59557034630418e-19,4.04723900855249e-17,117.896311503887,2.20607393713067,188.842481862971,2.66555662800326,169.094843445013,1.38804733670496
HPX,49203.8211146786,-4.190783420586,0.469280764574185,-8.93022628870933,4.25138271760906e-19,1.05261938043288e-16,60809.7946516906,4201.10013427585,70487.8685768377,5743.38601447102,148598.623762723,5382.15354807349
CDKN2A,283.370281357109,5.02942622773489,0.564672083761281,8.90680869901321,5.2522574182875e-19,1.28309147223818e-16,21.3336182721319,379.444717186476,13.7841227637205,886.741838249084,15.1223030723183,383.795088598922
CLEC3B,224.955564901045,-4.70800777644668,0.528902827113908,-8.90146078843465,5.5116433073911e-19,1.32874116681605e-16,373.89973076947,8.08893776947913,398.361147871523,15.1048208920185,527.905852706383,26.3728993973943
LOC107985462,140.471667526458,-4.66883000504634,0.524984665633913,-8.89326929084449,5.93367834994569e-19,1.39380582984237e-16,247.020843151001,11.0303696856534,272.925630721666,4.44259438000543,291.448022848316,15.9625443721071
XRCC2,140.568626397512,4.20629866801967,0.472929263985163,8.89413912045764,5.88739035245548e-19,1.39380582984237e-16,15.7195082005183,246.344922979592,13.7841227637205,212.35601136426,13.7475482475621,341.459644829421
HMGA1,1032.4931461243,3.09476147906181,0.348295211606278,8.88545514246176,6.36596096804715e-19,1.4764194538805e-16,254.88059725126,1866.33855081255,232.951674706877,2080.91120759454,160.846314496476,1599.03053188412
FOXM1,596.043003446496,4.55061979256633,0.51491767230515,8.83756770707523,9.78249570399743e-19,2.24043607860801e-16,74.1062529453004,1228.78318298178,48.2444296730218,1342.55202163764,23.3708320208555,859.201301420371
ESR1,478.898992630618,-4.5722116980193,0.518636862146988,-8.81582477398894,1.18807173751769e-18,2.68738893516038e-16,773.624367868363,19.1193074551325,1135.81171573057,35.5407550400435,848.223726874579,61.0740828150183
LHPP,480.633632375124,-3.18529276612145,0.36145631119536,-8.81238663557283,1.2250924877236e-18,2.73733470244778e-16,757.904859667845,124.275498458361,938.698760209368,76.4126233360934,901.839165040071,84.6708875390027
MOGAT2,1624.43571862187,-7.57357147816544,0.860352857130879,-8.80286665569047,1.33364984134216e-18,2.94094589584205e-16,1086.89170986441,25.002171287481,3601.79127816017,23.9900096520293,5006.8570717621,2.08207100505744
RBP1,600.924661532337,-5.12970572230189,0.582812547061257,-8.801639134517,1.34832144553396e-18,2.94094589584205e-16,1756.09363040075,56.6225643863539,789.830234361186,23.9900096520293,959.578867679831,19.4326627138695
DNAJC6,467.193938879195,5.56760332718812,0.634708123805214,8.77191124293339,1.75658845775812e-18,3.78637808506402e-16,32.5618384153593,1484.68775968894,15.1625350400926,605.969873432741,9.62328377329344,655.158342924742
CDCA5,289.176205699382,3.5472685701341,0.406858636814841,8.71867584747487,2.81474133797034e-18,5.99670823189449e-16,61.7552107877503,627.995714103198,35.8387191856734,478.911674164585,38.4931350931738,492.062780861909
TRO,101.565148605216,-4.06715304041052,0.46845858304116,-8.68199065541119,3.88901382664782e-18,8.1901737163036e-16,192.002564449187,8.08893776947913,195.734543244831,16.8818586440206,186.966656166844,9.71633135693473
BUB1B,287.706517251044,4.16799165913265,0.480898990412549,8.66708340468141,4.43330213592982e-18,9.23033656073933e-16,44.9128805729093,673.587908803899,26.189833251069,420.269428348514,19.2465675465869,542.032484983288
